"Url","Status"
"https://app.leonardo.ai","429"
"https://character.ai","403"
"https://chatgpt.com","403"
"https://claude.ai","403"
"https://gamma.app","403"
"https://medium.com/@syedsinterprises","403"
"https://neptune.ai","308"
"https://openai.com/dall-e","403"
"https://platform.openai.com","403"
"https://poe.com","403"
"https://via.placeholder.com/800x600.png?text=Example+AI+Tool","ERR"
"https://www.canva.com","403"
"https://www.capcut.com","451"
"https://www.framer.com/ai","308"
"https://www.google.com/settings/ads","302"
"https://www.make.com","403"
"https://www.midjourney.com","403"
"https://www.perplexity.ai","403"
"https://www.phind.com","403"
"https://www.udemy.com","403"
"https://www.upwork.com","403"
"https://x.ai/grok","403"
